dep_amt ,dep_days_greater100e,wth_amt ,wth_days_greatter100e,stake_amt,stake_days_greater500e,paid_bonus,no_bets,abs_ggr_days_greater200e,no_logins,vip
150,0,0,0,2218,2,0,2406,1,7,not VIP
184,0,231,1,969,0,0,40,0,30,not VIP
18,0,0,0,75,0,0,150,0,45,not VIP
15,0,0,0,19,0,0,11,0,4,not VIP
62,0,31,0,69,0,0,10,0,16,not VIP
99,0,0,0,548,0,0,2084,0,14,not VIP
34,0,85,0,337,0,0,137,0,26,not VIP
11,0,0,0,13,0,0,37,0,1,not VIP
31,0,0,0,142,0,0,399,0,12,not VIP
109,1,0,0,385,0,0,570,0,2,not VIP
257,0,0,0,465,0,0,42,1,52,not VIP
231,1,0,0,731,0,6,446,0,25,not VIP
247,1,0,0,891,0,0,229,1,28,not VIP
109,1,0,0,187,0,0,7,0,9,not VIP
99,0,0,0,1011,0,0,115,0,33,not VIP
146,0,181,0,1784,1,0,1520,0,54,not VIP
16,0,0,0,0,0,0,0,0,11,not VIP
455,1,308,1,6831,3,0,301,2,21,not VIP
41,0,0,0,69,0,0,10,0,18,not VIP
149,0,101,0,2874,3,30,404,0,22,not VIP
231,0,278,2,2549,2,0,51,0,11,not VIP
169,0,0,0,498,0,0,2065,0,25,not VIP
45,0,0,0,228,0,0,71,0,9,not VIP
54,0,0,0,136,0,0,35,0,31,not VIP
52,0,0,0,147,0,0,411,0,123,not VIP
117,0,0,0,332,0,0,156,0,21,not VIP
177,0,0,0,397,0,0,144,0,79,not VIP
107,0,152,1,1027,1,0,1821,0,16,not VIP
155,1,0,0,513,0,0,42,0,17,not VIP
139,1,0,0,314,0,0,1379,0,6,not VIP
123,0,77,0,1910,2,0,5217,0,15,not VIP
416,1,1,1,471,0,0,200,0,7,not VIP
130,0,185,1,1600,0,49,204,0,205,not VIP
431,3,0,0,14018,3,14,3850,2,53,not VIP
135,0,0,0,1215,1,0,459,0,42,not VIP
117,0,0,0,544,0,0,196,0,20,not VIP
7227,6,7207,5,143436,9,2372,1232,8,101,VIP
16772,10,0,0,1403413,9,7376,1754,9,69,VIP
92,0,152,1,3029,2,423,554,1,68,not VIP
123,0,31,0,1877,1,0,7511,0,39,not VIP
100,1,0,0,1466,0,0,287,0,45,not VIP
110,1,0,0,339,0,0,13,0,2,not VIP
226,1,0,0,588,0,3,108,0,19,VIP
22,0,0,0,297,0,0,32,0,1,not VIP
148,0,108,0,1586,1,9,697,0,61,not VIP
25,0,0,0,340,0,0,75,0,7,not VIP
130,1,0,0,1578,1,66,183,1,15,not VIP
234,1,0,0,4200,2,0,7924,0,28,not VIP
162,0,15,0,4529,2,0,318,0,128,not VIP
77,0,0,0,277,0,0,16,0,27,not VIP
123,1,3,1,6176,3,1244,1332,2,29,not VIP
20,0,0,0,105,0,0,30,0,9,not VIP
268,1,324,2,3274,3,51,5239,0,40,not VIP
126,0,0,0,687,0,371,68,1,18,not VIP
8,0,0,0,8,0,0,5,0,1,not VIP
55,0,62,0,79,0,0,29,0,27,not VIP
154,1,0,0,354,0,0,20,0,56,not VIP
166,0,0,0,1136,0,0,115,0,80,not VIP
61,0,0,0,147,0,0,291,0,59,not VIP
15,0,0,0,44,0,0,69,0,9,not VIP
733,1,2206,2,10895,4,97,1135,2,61,not VIP
15,0,69,0,453,0,0,156,0,12,not VIP
45,0,0,0,289,0,0,908,0,21,not VIP
154,1,0,0,1755,1,0,5355,0,13,not VIP
36,0,0,0,41,0,0,51,0,76,not VIP
9,0,0,0,20,0,0,71,0,35,not VIP
90,0,0,0,200,0,0,380,0,11,not VIP
262,1,154,1,3872,2,0,6117,0,14,not VIP
18,0,0,0,388,0,0,147,0,429,not VIP
90,0,0,0,134,0,0,72,0,84,not VIP
254,0,152,1,1861,0,8,99,0,57,not VIP
76,0,38,0,113,0,0,31,0,59,not VIP
77,0,0,0,544,0,8,124,0,53,not VIP
31,0,0,0,98,0,0,58,0,19,not VIP
9,0,0,0,0,0,0,0,0,1,not VIP
46,0,153,1,226,0,148,50,0,54,not VIP
654,2,969,2,2474,0,947,108,0,176,not VIP
215,0,0,0,1708,1,0,12444,0,45,not VIP
52,0,0,0,7255,1,147,377,0,15,not VIP
309,1,0,0,2180,1,60,119,1,17,not VIP
112,0,348,2,163,0,0,5,0,7,not VIP
154,0,123,1,3547,2,0,396,0,14,not VIP
656,2,772,1,6701,3,0,75,3,69,not VIP
59,0,0,0,150,0,0,6,0,9,not VIP
14,0,0,0,34,0,0,9,0,4,not VIP
31,0,0,0,332,0,0,89,0,12,not VIP
154,0,581,2,3245,2,0,1234,0,62,not VIP
191,0,224,2,1538,0,11,57,0,96,not VIP
185,0,46,0,1253,1,0,323,0,30,not VIP
18,0,0,0,58,0,0,60,0,81,not VIP
31,0,0,0,42,0,0,10,0,10,not VIP
398,2,0,0,9726,5,16,4855,0,49,not VIP
710,1,0,0,1489,1,0,17,1,39,not VIP
3937,4,0,0,14756,4,0,127,4,50,VIP
162,1,0,0,1036,0,31,43,1,24,not VIP
123,0,162,1,465,0,0,30,0,22,not VIP
46,0,0,0,0,0,0,0,0,3,not VIP
2739,9,1518,1,9390,8,0,42,6,71,not VIP
108,0,0,0,402,0,0,894,0,21,not VIP
187,1,123,1,3224,2,0,4522,0,30,not VIP
30,0,0,0,86,0,0,331,0,6,not VIP
55,0,108,1,970,1,72,2721,0,39,not VIP
31,0,0,0,168,0,0,408,0,5,not VIP
275,1,231,1,2361,2,214,6054,0,40,not VIP
15,0,0,0,231,0,36,95,0,39,not VIP
15,0,0,0,53,0,0,11,0,27,not VIP
108,0,0,0,152,0,0,104,0,14,not VIP
285,0,313,1,3219,1,21,18293,0,179,not VIP
305,1,216,0,2187,1,0,325,0,48,not VIP
9,0,0,0,35,0,0,173,0,5,not VIP
370,0,136,0,3137,2,0,1089,0,86,not VIP
15,0,0,0,22,0,0,138,0,5,not VIP
215,1,461,1,875,0,0,18,1,31,not VIP
154,1,476,1,6991,2,0,152,0,52,not VIP
122,1,1,1,4324,2,47,58,2,40,not VIP
123,0,0,0,528,0,0,109,0,32,not VIP
39,0,0,0,65,0,0,12,0,7,not VIP
154,0,0,0,154,0,0,3,0,3,not VIP
469,2,305,1,4822,2,0,2439,2,14,not VIP
186,0,0,1,5676,2,0,10315,2,60,not VIP
22,0,0,0,76,0,13,8,0,6,not VIP
15,0,0,0,226,0,0,1629,0,9,not VIP
1117,5,694,2,14122,5,0,11079,3,54,not VIP
102,0,151,0,1777,1,1,763,0,53,not VIP
106,0,0,0,725,0,0,163,0,24,not VIP
168,0,154,1,997,0,58,2262,0,138,not VIP
231,1,0,0,2105,1,0,587,1,7,not VIP
2006,1,0,0,12654,1,0,235,1,13,not VIP
79,0,0,0,765,0,0,324,0,131,not VIP
